ibge_city_id,ibge_id,name
1302504,130250405001,Centro
1302504,130250405002,Aparecida
1302504,130250405003,Biribiri
1302504,130250405004,Liberdade
1302504,130250405005,Morada do Sol
1302504,130250405006,São Francisco
1302504,130250405007,São José
1302504,130250405008,Terra Preta
1302504,130250405009,União
1302504,130250405010,Correnteza
1302504,130250405011,Nova Manacá
1302603,130260305001,Centro
1302603,130260305002,Nossa Senhora Aparecida
1302603,130260305003,Presidente Vargas
1302603,130260305004,Praça 14 de Janeiro
1302603,130260305005,Cachoeirinha
1302603,130260305006,São Raimundo
1302603,130260305007,Glória
1302603,130260305008,Santo Antônio
1302603,130260305009,Vila da Prata
1302603,130260305010,Compensa
1302603,130260305011,São Jorge
1302603,130260305012,Santo Agostinho
1302603,130260305013,Nova Esperança
1302603,130260305014,Lírio do Vale
1302603,130260305015,Planalto
1302603,130260305016,Alvorada
1302603,130260305017,Redenção
1302603,130260305018,Da Paz
1302603,130260305019,Raiz
1302603,130260305020,São Francisco
1302603,130260305021,Petrópolis
1302603,130260305022,Japiim
1302603,130260305023,Coroado
1302603,130260305024,Educandos
1302603,130260305025,Santa Luzia
1302603,130260305026,Morro da Liberdade
1302603,130260305027,Betânia
1302603,130260305028,Colônia Oliveira Machado
1302603,130260305029,São Lázaro
1302603,130260305030,Crespo
1302603,130260305031,Vila Buriti
1302603,130260305032,Distrito Industrial I
1302603,130260305033,Mauazinho
1302603,130260305034,Colônia Antônio Aleixo
1302603,130260305035,Puraquequara
1302603,130260305036,Dom Pedro I
1302603,130260305037,Flores
1302603,130260305038,Parque 10 de Novembro
1302603,130260305039,Aleixo
1302603,130260305040,Adrianópolis
1302603,130260305041,Nossa Senhora das Graças
1302603,130260305042,São Geraldo
1302603,130260305043,Chapada
1302603,130260305044,Colônia Santo Antônio
1302603,130260305045,Novo Israel
1302603,130260305046,Colônia Terra Nova
1302603,130260305047,Santa Etelvina
1302603,130260305048,Monte das Oliveiras
1302603,130260305049,Cidade Nova
1302603,130260305050,Ponta Negra
1302603,130260305051,Tarumã
1302603,130260305052,Armando Mendes
1302603,130260305053,Zumbi dos Palmares
1302603,130260305054,São José Operário
1302603,130260305055,Tancredo Neves
1302603,130260305056,Jorge Teixeira
1302603,130260305057,Distrito Industrial II
1302603,130260305058,Novo Aleixo
1302603,130260305059,Cidade de Deus
1302603,130260305060,Nova Cidade
1302603,130260305061,Tarumã-Açu
1302603,130260305062,Gilberto Mestrinho
1302603,130260305063,Lago Azul
1302702,130270205001,Santa Luzia
1302702,130270205002,Dom Bosco
1302702,130270205003,Rocinha
1302702,130270205004,Manicorezinho
1302702,130270205005,Auxiliadora
1302702,130270205006,Mazzarelo
1302702,130270205007,Nossa Senhora do Rosário
1302702,130270205008,São Domingos Sávio
1302702,130270205009,Colônia da Ribeira
1302702,130270205010,Centro
1302702,130270205011,Ipasea
1302900,130290005001,Mário Fonseca
1302900,130290005002,Centro
1302900,130290005003,Ramalho Júnior
1302900,130290005004,Maresia
1302900,130290005005,Santa Luzia
1302900,130290005006,Santa Tereza
1302900,130290005007,Do eden
1302900,130290005008,Donga Michiles
1302900,130290005009,Novo Bairro
1303106,130310605001,Vale do Sol
1303106,130310605002,Santa Maria
1303106,130310605003,Chicolândia
1303106,130310605004,Santa Luzia
1303106,130310605005,Nossa Senhora de Fátima
1303106,130310605006,Aerolândia
